room,noted_date,temperature,in_out,date
Room Admin,2018-12-08 09:30:00,29,In,2018-12-08
Room Admin,2018-12-08 09:30:00,29,In,2018-12-08
Room Admin,2018-12-08 09:29:00,31,In,2018-12-08
Room Admin,2018-12-08 09:29:00,31,In,2018-12-08
Room Admin,2018-12-08 09:28:00,29,In,2018-12-08
Room Admin,2018-12-08 09:28:00,29,In,2018-12-08
Room Admin,2018-12-08 09:26:00,29,In,2018-12-08
Room Admin,2018-12-08 09:26:00,29,In,2018-12-08
Room Admin,2018-12-08 09:24:00,29,In,2018-12-08
Room Admin,2018-12-08 09:24:00,29,In,2018-12-08
Room Admin,2018-12-08 09:22:00,29,In,2018-12-08
Room Admin,2018-12-08 09:22:00,29,In,2018-12-08
Room Admin,2018-12-08 09:20:00,29,In,2018-12-08
Room Admin,2018-12-08 09:20:00,29,In,2018-12-08
Room Admin,2018-12-08 09:18:00,29,In,2018-12-08
Room Admin,2018-12-08 09:18:00,29,In,2018-12-08
Room Admin,2018-12-08 09:16:00,29,In,2018-12-08
Room Admin,2018-12-08 09:16:00,29,In,2018-12-08
Room Admin,2018-12-08 09:14:00,29,In,2018-12-08
Room Admin,2018-12-08 09:14:00,29,In,2018-12-08
Room Admin,2018-12-08 09:12:00,29,In,2018-12-08
Room Admin,2018-12-08 09:12:00,29,In,2018-12-08
Room Admin,2018-12-08 09:08:00,29,In,2018-12-08
Room Admin,2018-12-08 09:08:00,29,In,2018-12-08
Room Admin,2018-12-08 09:05:00,29,In,2018-12-08
Room Admin,2018-12-08 09:04:00,30,In,2018-12-08
Room Admin,2018-12-08 09:04:00,29,In,2018-12-08
Room Admin,2018-12-08 09:03:00,30,In,2018-12-08
Room Admin,2018-12-08 09:01:00,30,In,2018-12-08
Room Admin,2018-12-08 09:00:00,29,In,2018-12-08
Room Admin,2018-12-08 09:00:00,29,In,2018-12-08
Room Admin,2018-12-08 08:58:00,29,In,2018-12-08
Room Admin,2018-12-08 08:58:00,29,In,2018-12-08
Room Admin,2018-12-08 08:55:00,30,In,2018-12-08
Room Admin,2018-12-08 08:55:00,30,In,2018-12-08
Room Admin,2018-12-08 08:52:00,29,In,2018-12-08
Room Admin,2018-12-08 08:52:00,29,In,2018-12-08
Room Admin,2018-12-08 08:51:00,31,In,2018-12-08
Room Admin,2018-12-08 08:50:00,29,In,2018-12-08
Room Admin,2018-12-08 08:50:00,29,In,2018-12-08
Room Admin,2018-12-08 08:48:00,29,In,2018-12-08
Room Admin,2018-12-08 08:46:00,29,In,2018-12-08
Room Admin,2018-12-08 08:46:00,29,In,2018-12-08
Room Admin,2018-12-08 08:42:00,29,In,2018-12-08
Room Admin,2018-12-08 08:42:00,29,In,2018-12-08
Room Admin,2018-12-08 08:41:00,30,In,2018-12-08
Room Admin,2018-12-08 08:41:00,30,In,2018-12-08
Room Admin,2018-12-08 08:40:00,29,In,2018-12-08
Room Admin,2018-12-08 08:40:00,29,In,2018-12-08
Room Admin,2018-12-08 08:38:00,29,In,2018-12-08
Room Admin,2018-12-08 08:38:00,29,In,2018-12-08
Room Admin,2018-12-08 08:36:00,29,In,2018-12-08
Room Admin,2018-12-08 08:36:00,29,In,2018-12-08
Room Admin,2018-12-08 08:34:00,29,In,2018-12-08
Room Admin,2018-12-08 08:34:00,29,In,2018-12-08
Room Admin,2018-12-08 08:32:00,29,In,2018-12-08
Room Admin,2018-12-08 08:32:00,29,In,2018-12-08
Room Admin,2018-12-08 08:30:00,29,In,2018-12-08
Room Admin,2018-12-08 08:30:00,29,In,2018-12-08
Room Admin,2018-12-08 08:28:00,29,In,2018-12-08
Room Admin,2018-12-08 08:28:00,29,In,2018-12-08
Room Admin,2018-12-08 08:26:00,29,In,2018-12-08
Room Admin,2018-12-08 08:26:00,29,In,2018-12-08
Room Admin,2018-12-08 08:24:00,29,In,2018-12-08
Room Admin,2018-12-08 08:24:00,29,In,2018-12-08
Room Admin,2018-12-08 08:22:00,29,In,2018-12-08
Room Admin,2018-12-08 08:22:00,29,In,2018-12-08
Room Admin,2018-12-08 08:20:00,29,In,2018-12-08
Room Admin,2018-12-08 08:20:00,29,In,2018-12-08
Room Admin,2018-12-08 08:18:00,29,In,2018-12-08
Room Admin,2018-12-08 08:18:00,29,In,2018-12-08
Room Admin,2018-12-08 08:17:00,30,In,2018-12-08
Room Admin,2018-12-08 08:17:00,30,In,2018-12-08
Room Admin,2018-12-08 08:16:00,29,In,2018-12-08
Room Admin,2018-12-08 08:16:00,29,In,2018-12-08
Room Admin,2018-12-08 08:15:00,30,In,2018-12-08
Room Admin,2018-12-08 08:15:00,30,In,2018-12-08
Room Admin,2018-12-08 08:12:00,29,In,2018-12-08
Room Admin,2018-12-08 08:12:00,29,In,2018-12-08
Room Admin,2018-12-08 08:10:00,29,In,2018-12-08
Room Admin,2018-12-08 08:10:00,29,In,2018-12-08
Room Admin,2018-12-08 08:08:00,29,In,2018-12-08
Room Admin,2018-12-08 08:08:00,29,In,2018-12-08
Room Admin,2018-12-08 08:06:00,29,In,2018-12-08
Room Admin,2018-12-08 08:06:00,29,In,2018-12-08
Room Admin,2018-12-08 08:04:00,29,In,2018-12-08
Room Admin,2018-12-08 08:04:00,29,In,2018-12-08
Room Admin,2018-12-08 08:03:00,29,In,2018-12-08
Room Admin,2018-12-08 08:02:00,29,In,2018-12-08
Room Admin,2018-12-08 08:01:00,29,In,2018-12-08
Room Admin,2018-12-08 07:58:00,29,In,2018-12-08
Room Admin,2018-12-08 07:56:00,29,In,2018-12-08
Room Admin,2018-12-08 07:56:00,29,In,2018-12-08
Room Admin,2018-12-08 07:54:00,29,In,2018-12-08
Room Admin,2018-12-08 07:52:00,29,In,2018-12-08
Room Admin,2018-12-08 07:52:00,29,In,2018-12-08
